資料日期,股票代號,股票名稱,產業分類,分數,訊號,技術分,法人籌碼分,融資融券分,收盤價,近5日漲幅%
2026-06-05,1503,士電,智慧電網與儲能,11,留意追蹤,7,4,0,241.5,10.27
2026-06-08,1503,士電,智慧電網與儲能,14,買進觀察,10,4,0,230.0,4.31
2026-06-05,1513,中興電,智慧電網與儲能,10,留意追蹤,9,1,0,170.5,2.4
2026-06-08,1513,中興電,智慧電網與儲能,9,高風險排除,8,1,0,169.5,0.59
2026-06-05,1514,亞力,智慧電網與儲能,10,留意追蹤,11,-1,0,135.0,7.57
2026-06-08,1514,亞力,智慧電網與儲能,4,高風險排除,5,-1,0,125.0,-1.19
2026-06-05,1519,華城,智慧電網與儲能,-5,高風險排除,-4,-1,0,851.0,-2.63
2026-06-08,1519,華城,智慧電網與儲能,-8,高風險排除,-7,-1,0,815.0,-6.32
2026-06-05,1582,信錦,散熱 / AI零組件,-6,高風險排除,-2,-4,0,103.5,-13.39
2026-06-08,1582,信錦,散熱 / AI零組件,-13,高風險排除,-9,-4,0,98.7,-13.42
2026-06-05,1584,精剛,國防軍工 / 無人機,0,中性觀察,3,-1,-2,20.0,1.01
2026-06-08,1584,精剛,國防軍工 / 無人機,-4,高風險排除,-1,-1,-2,19.7,-0.76
2026-06-05,1584O,精剛,國防軍工 / 無人機,5,不符條件,5,0,0,20.0,1.01
2026-06-05,1590,亞德客-KY,人形機器人供應鏈,1,中性觀察,0,1,0,1320.0,-5.71
2026-06-08,1590,亞德客-KY,人形機器人供應鏈,1,中性觀察,0,1,0,1280.0,-5.19
2026-06-05,1605,華新,智慧電網與儲能,12,買進觀察,10,2,0,39.55,2.06
2026-06-08,1605,華新,智慧電網與儲能,2,高風險排除,0,2,0,35.8,-9.82
2026-06-05,1609,大亞,智慧電網與儲能,9,留意追蹤,8,1,0,39.1,-0.38
2026-06-08,1609,大亞,智慧電網與儲能,4,高風險排除,3,1,0,36.95,-5.26
2026-06-05,1618,合機,智慧電網與儲能,6,高風險排除,7,-1,0,42.0,-0.47
2026-06-08,1618,合機,智慧電網與儲能,4,中性觀察,5,-1,0,40.85,-4.11
2026-06-05,2049,上銀,人形機器人供應鏈,-3,高風險排除,-2,-1,0,345.0,-11.31
2026-06-08,2049,上銀,人形機器人供應鏈,-3,高風險排除,-2,-1,0,329.5,-14.97
2026-06-05,2059,川湖,散熱 / AI零組件,6,留意追蹤,9,-3,0,5620.0,10.96
2026-06-08,2059,川湖,散熱 / AI零組件,6,留意追蹤,9,-3,0,6180.0,18.5
2026-06-05,2208,台船,國防軍工 / 無人機,-3,高風險排除,0,-3,0,18.35,3.38
2026-06-08,2208,台船,國防軍工 / 無人機,-4,高風險排除,-3,-1,0,17.5,-4.37
2026-06-05,2301,光寶科,AI伺服器,11,高風險排除,8,3,0,230.0,-1.92
2026-06-08,2301,光寶科,AI伺服器,3,中性觀察,0,3,0,218.5,-6.82
2026-06-05,2303,聯電,半導體 / IC設計,11,留意追蹤,8,3,0,131.5,-9.0
2026-06-08,2303,聯電,半導體 / IC設計,1,中性觀察,-2,3,0,121.0,-17.12
2026-06-05,2314,台揚,低軌衛星 / LEO,9,高風險排除,8,1,0,15.8,0.64
2026-06-08,2314,台揚,低軌衛星 / LEO,1,高風險排除,0,1,0,15.5,-4.02
2026-06-05,2317,鴻海,AI伺服器,11,留意追蹤,9,2,0,284.5,-1.56
2026-06-08,2317,鴻海,AI伺服器,7,高風險排除,5,2,0,269.5,-8.18
2026-06-05,2330,台積電,半導體 / IC設計,12,買進觀察,10,2,0,2365.0,0.42
2026-06-08,2330,台積電,半導體 / IC設計,8,高風險排除,6,2,0,2295.0,-2.55
2026-06-05,2331,精英,AI伺服器,10,留意追蹤,9,1,0,22.7,2.25
2026-06-08,2331,精英,AI伺服器,-6,高風險排除,-7,1,0,21.5,-11.89
2026-06-05,2337,旺宏,記憶體 / 儲存,-3,高風險排除,1,-4,0,150.0,-9.91
2026-06-08,2337,旺宏,記憶體 / 儲存,-13,高風險排除,-9,-4,0,143.5,-14.33
2026-06-05,2344,華邦電,記憶體 / 儲存,3,中性觀察,7,-4,0,162.0,2.53
2026-06-08,2344,華邦電,記憶體 / 儲存,2,高風險排除,6,-4,0,154.0,-8.33
2026-06-05,2345,智邦,低軌衛星 / LEO,5,留意追蹤,6,-1,0,2490.0,2.47
2026-06-08,2345,智邦,低軌衛星 / LEO,1,中性觀察,2,-1,0,2420.0,-3.59
2026-06-05,2354,鴻準,散熱 / AI零組件,6,高風險排除,7,-1,0,60.6,-0.49
2026-06-08,2354,鴻準,散熱 / AI零組件,-3,高風險排除,-2,-1,0,56.4,-10.19
2026-06-05,2356,英業達,AI伺服器,7,留意追蹤,6,1,0,76.8,9.4
2026-06-08,2356,英業達,AI伺服器,5,高風險排除,4,1,0,69.2,-10.36
2026-06-05,2357,華碩,AI伺服器,4,中性觀察,7,-3,0,900.0,18.27
2026-06-08,2357,華碩,AI伺服器,6,留意追蹤,7,-1,0,844.0,0.84
2026-06-05,2359,所羅門,人形機器人供應鏈,4,高風險排除,5,-1,0,142.0,-0.7
2026-06-08,2359,所羅門,人形機器人供應鏈,-3,高風險排除,-2,-1,0,131.5,-12.62
2026-06-05,2368,金像電,PCB / CCL / 載板,5,留意追蹤,4,1,0,1315.0,-0.38
2026-06-08,2368,金像電,PCB / CCL / 載板,11,留意追蹤,10,1,0,1360.0,2.64
2026-06-05,2376,技嘉,AI伺服器,10,留意追蹤,9,1,0,369.0,-0.27
2026-06-08,2376,技嘉,AI伺服器,4,高風險排除,3,1,0,345.0,-10.85
2026-06-05,2379,瑞昱,半導體 / IC設計,12,買進觀察,12,0,0,643.0,10.86
2026-06-08,2379,瑞昱,半導體 / IC設計,9,高風險排除,7,2,0,596.0,-2.13
2026-06-05,2382,廣達,AI伺服器,8,留意追蹤,6,2,0,390.5,15.19
2026-06-08,2382,廣達,AI伺服器,9,留意追蹤,7,2,0,376.5,1.07
2026-06-05,2383,台光電,PCB / CCL / 載板,12,買進觀察,6,6,0,4885.0,-4.59
2026-06-08,2383,台光電,PCB / CCL / 載板,6,留意追蹤,0,6,0,4770.0,-5.92
2026-06-05,2392,正崴,電子零組件 / 連接器,11,留意追蹤,10,1,0,40.7,3.69
2026-06-08,2392,正崴,電子零組件 / 連接器,7,高風險排除,6,1,0,39.2,-6.33
2026-06-05,2395,研華,人形機器人供應鏈,11,高風險排除,9,2,0,496.0,0.2
2026-06-08,2395,研華,人形機器人供應鏈,2,中性觀察,0,2,0,471.0,-8.9
2026-06-05,2401,凌陽,半導體 / IC設計,1,中性觀察,0,1,0,27.45,-8.5
2026-06-08,2401,凌陽,半導體 / IC設計,-1,中性觀察,-2,1,0,25.25,-14.84
2026-06-05,2408,南亞科,記憶體 / 儲存,6,留意追蹤,10,-4,0,360.0,3.75
2026-06-08,2408,南亞科,記憶體 / 儲存,0,高風險排除,4,-4,0,339.5,-11.01
2026-06-05,2409,友達,AI眼鏡 / AR穿戴,3,中性觀察,7,-4,0,27.1,17.83
2026-06-08,2409,友達,AI眼鏡 / AR穿戴,4,高風險排除,8,-4,0,24.4,2.52
2026-06-05,2421,建準,散熱 / AI零組件,8,高風險排除,9,-1,0,161.5,1.57
2026-06-08,2421,建準,散熱 / AI零組件,5,留意追蹤,6,-1,0,157.0,-4.85
2026-06-05,2454,聯發科,半導體 / IC設計,6,高風險排除,8,-2,0,4300.0,-0.23
2026-06-08,2454,聯發科,半導體 / IC設計,0,中性觀察,2,-2,0,4070.0,-10.65
2026-06-05,2464,盟立,人形機器人供應鏈,3,中性觀察,4,-1,0,165.0,-10.57
2026-06-08,2464,盟立,人形機器人供應鏈,-1,中性觀察,0,-1,0,148.5,-25.38
2026-06-05,2634,漢翔,國防軍工 / 無人機,-2,中性觀察,2,-4,0,46.55,-0.96
2026-06-08,2634,漢翔,國防軍工 / 無人機,-9,高風險排除,-5,-4,0,45.0,-5.76
2026-06-05,2645,長榮航太,國防軍工 / 無人機,17,買進觀察,16,1,0,169.5,1.8
2026-06-08,2645,長榮航太,國防軍工 / 無人機,10,留意追蹤,9,1,0,166.0,-3.77
2026-06-05,3006,晶豪科,記憶體 / 儲存,-4,高風險排除,0,-4,0,222.5,-9.74
2026-06-08,3006,晶豪科,記憶體 / 儲存,-6,高風險排除,-2,-4,0,207.0,-17.2
2026-06-05,3008,大立光,AI眼鏡 / AR穿戴,5,高風險排除,9,-4,0,3680.0,4.69
2026-06-08,3008,大立光,AI眼鏡 / AR穿戴,1,中性觀察,5,-4,0,3535.0,-7.82
2026-06-05,3016,嘉晶,半導體 / IC設計,-1,中性觀察,-2,1,0,108.0,-21.74
2026-06-08,3016,嘉晶,半導體 / IC設計,-1,中性觀察,-2,1,0,104.0,-17.46
2026-06-05,3017,奇鋐,散熱 / AI零組件,7,高風險排除,8,-1,0,2600.0,-2.44
2026-06-08,3017,奇鋐,散熱 / AI零組件,1,中性觀察,2,-1,0,2570.0,-7.72
2026-06-05,3034,聯詠,半導體 / IC設計,11,留意追蹤,10,1,0,492.0,3.14
2026-06-08,3034,聯詠,半導體 / IC設計,3,高風險排除,2,1,0,473.0,-4.73
2026-06-05,3037,欣興,PCB / CCL / 載板,-1,中性觀察,0,-1,0,933.0,-11.56
2026-06-08,3037,欣興,PCB / CCL / 載板,-3,高風險排除,-2,-1,0,911.0,-13.24
2026-06-05,3189,景碩,PCB / CCL / 載板,6,留意追蹤,5,1,0,712.0,-2.33
2026-06-08,3189,景碩,PCB / CCL / 載板,4,中性觀察,3,1,0,698.0,-9.82
2026-06-05,3231,緯創,AI伺服器,11,留意追蹤,7,4,0,171.0,7.89
2026-06-08,3231,緯創,AI伺服器,9,高風險排除,5,4,0,163.5,-6.03
2026-06-05,3260,威剛,記憶體 / 儲存,5,高風險排除,4,-1,2,421.5,1.57
2026-06-08,3260,威剛,記憶體 / 儲存,-6,高風險排除,-7,-1,2,403.0,-5.62
2026-06-05,3260O,威剛,記憶體 / 儲存,3,高風險排除,3,0,0,421.5,1.57
2026-06-05,3406,玉晶光,AI眼鏡 / AR穿戴,6,留意追蹤,9,-3,0,682.0,13.1
2026-06-08,3406,玉晶光,AI眼鏡 / AR穿戴,6,留意追蹤,7,-1,0,654.0,8.46
2026-06-05,3443,創意,半導體 / IC設計,4,中性觀察,0,4,0,4410.0,-5.57
2026-06-08,3443,創意,半導體 / IC設計,4,中性觀察,0,4,0,4255.0,-8.59
2026-06-05,3450,聯鈞,低軌衛星 / LEO,8,高風險排除,9,-1,0,501.0,2.14
2026-06-08,3450,聯鈞,低軌衛星 / LEO,-3,高風險排除,-2,-1,0,461.0,-14.47
2026-06-05,3481,群創,AI眼鏡 / AR穿戴,11,留意追蹤,7,4,0,53.7,5.29
2026-06-08,3481,群創,AI眼鏡 / AR穿戴,7,高風險排除,3,4,0,48.35,-13.81
2026-06-05,3491,昇達科,低軌衛星 / LEO,2,中性觀察,4,-4,2,1935.0,-12.05
2026-06-08,3491,昇達科,低軌衛星 / LEO,-4,高風險排除,-2,-4,2,1785.0,-17.55
2026-06-05,3491O,昇達科,低軌衛星 / LEO,5,不符條件,5,0,0,1935.0,-12.05
2026-06-05,3504,揚明光,AI眼鏡 / AR穿戴,11,留意追蹤,10,1,0,80.9,3.98
2026-06-08,3504,揚明光,AI眼鏡 / AR穿戴,1,高風險排除,0,1,0,72.9,-7.02
2026-06-05,3596,智易,低軌衛星 / LEO,11,留意追蹤,10,1,0,190.5,1.6
2026-06-08,3596,智易,低軌衛星 / LEO,1,高風險排除,0,1,0,181.0,-6.46
